Room_number,Squares,Floor,Place,Price
3,76.0,21,Кировскии,16900000
1,37.0,15,Октябрьскии,5000000
3,78.0,2,Пролетарскии,7500000
2,61.0,22,Советскии,6800000
2,63.0,7,Кировскии,9100000
1,38.6,4,Первомаискии,3850000
0,21.2,1,Пролетарскии,1900000
3,75.0,13,Кировскии,22000000
3,70.0,1,Кировскии,9600000
2,56.0,13,Октябрьскии,9500000
1,32.4,3,Советскии,4250000
2,44.0,2,Ленинскии,5200000
3,66.4,1,Кировскии,9700000
1,41.8,24,Октябрьскии,5900000
1,47.0,10,Октябрьскии,6700000
3,64.0,8,Октябрьскии,7350000
3,83.3,8,Ленинскии,12800000
1,43.0,12,Октябрьскии,6850000
3,64.0,6,Ворошиловскии,6800000
4,106.0,2,Первомаискии,12500000
0,26.0,6,Ворошиловскии,5299000
0,33.0,17,Пролетарскии,4790000
1,37.4,5,Пролетарскии,6500000
1,22.0,1,Железнодорожныи,1970000
2,42.0,8,Железнодорожныи,5100000
3,84.8,17,Октябрьскии,7100000
1,40.0,10,Первомаискии,6790000
1,32.0,14,Пролетарскии,5400000
1,38.0,14,Октябрьскии,7000000
2,37.0,2,Советскии,5124500
2,46.8,12,Советскии,5873400
2,62.9,9,Первомаискии,7390750
3,76.6,8,Советскии,7950000
0,33.0,15,Ворошиловскии,3990000
0,22.0,17,Кировскии,4250000
3,82.3,11,Первомаискии,9135300
3,64.5,2,Октябрьскии,8067500
1,45.0,22,Пролетарскии,8998150
0,24.0,4,Железнодорожныи,3200000
0,23.9,9,Ворошиловскии,3628240
1,35.4,4,Октябрьскии,4800000
0,22.1,19,Октябрьскии,3200121
1,37.5,10,Железнодорожныи,4299000
1,35.5,10,Первомаискии,4000000
2,64.6,5,Первомаискии,7600000
2,44.4,10,Октябрьскии,5775900
2,43.0,5,Советскии,5600000
1,40.0,3,Первомаискии,3999999
4,150.0,14,Ворошиловскии,18000000
0,30.0,5,Пролетарскии,4140000
2,55.0,2,Советскии,5800000
3,85.3,6,Советскии,16167192
2,40.0,3,Советскии,3500000
1,33.8,10,Октябрьскии,4557600
1,40.0,2,Пролетарскии,5300000
3,75.0,13,Кировскии,22000000
2,57.7,10,Кировскии,9000000
2,61.0,22,Советскии,6800000
1,40.7,6,Советскии,5779400
1,37.6,15,Ворошиловскии,5261200
3,66.0,14,Советскии,10790000
1,37.5,10,Железнодорожныи,4299000
2,68.0,2,Первомаискии,7796000
3,82.6,11,Первомаискии,9168600
3,80.0,10,Советскии,8000000
1,43.4,11,Первомаискии,5598600
1,45.0,2,Пролетарскии,3449000
3,83.3,8,Железнодорожныи,8550000
1,41.0,17,Пролетарскии,4882570
2,47.3,3,Советскии,4150000
0,28.0,9,Октябрьскии,3499999
2,82.0,4,Ленинскии,8300000
1,40.0,10,Советскии,5344970
1,35.0,4,Первомаискии,3650000
1,30.2,14,Советскии,4828000
0,30.0,1,Октябрьскии,3500000
3,59.0,1,Первомаискии,3900000
1,32.0,9,Ворошиловскии,3450000
1,50.0,14,Кировскии,8500000
2,55.1,3,Первомаискии,6749750
2,57.6,4,Октябрьскии,9792000
3,61.0,5,Кировскии,7450000
2,37.6,3,Ленинскии,5950000
1,33.0,9,Первомаискии,4300000
1,40.0,10,Первомаискии,6790000
1,39.3,8,Советскии,4700000
1,22.0,1,Железнодорожныи,1970000
0,26.9,23,Кировскии,5883500
1,54.0,7,Кировскии,7100000
1,32.0,3,Советскии,4050000
2,34.5,6,Ворошиловскии,3550000
0,25.0,4,Пролетарскии,3200000
2,52.0,2,Первомаискии,4999999
1,38.5,9,Первомаискии,3250000
3,65.0,4,Советскии,5400000
0,29.0,4,Железнодорожныи,4400000
0,35.1,15,Октябрьскии,6050000
3,64.5,7,Октябрьскии,8067500
0,25.0,19,Пролетарскии,4500000
1,42.0,9,Ленинскии,7850000
3,70.0,16,Пролетарскии,15000000
0,21.2,1,Пролетарскии,1900000
2,52.0,1,Ленинскии,9750000
1,30.0,3,Советскии,3200000
2,61.0,7,Пролетарскии,8100000
3,64.0,4,Ворошиловскии,5950000
1,32.7,17,Октябрьскии,5990000
1,40.0,4,Октябрьскии,4990000
1,34.8,4,Кировскии,6900000
2,44.0,3,Советскии,3800000
2,45.0,8,Советскии,4600000
1,36.0,12,Советскии,4500000
1,30.2,5,Советскии,4100000
0,31.0,11,Железнодорожныи,3900000
2,52.0,6,Октябрьскии,6600000
2,54.0,3,Ворошиловскии,6000000
1,21.9,2,Советскии,3700000
2,52.0,11,Кировскии,9500000
1,33.3,4,Кировскии,5000000
3,65.3,4,Железнодорожныи,8000000
1,30.0,7,Ворошиловскии,3100000
1,30.0,3,Советскии,2500000
1,29.9,1,Советскии,3200000
1,36.5,2,Железнодорожныи,3300000
0,27.0,10,Советскии,3250000
1,41.3,9,Первомаискии,5200000
1,39.0,7,Ворошиловскии,4300000
2,36.0,2,Ворошиловскии,4200000
3,56.0,3,Ворошиловскии,5399000
3,54.0,1,Советскии,5100000
1,22.0,2,Первомаискии,2600000
0,23.0,20,Октябрьскии,4300000
2,52.8,4,Пролетарскии,6300000
2,45.0,2,Пролетарскии,3500000
1,31.0,6,Советскии,3100000
2,57.5,2,Октябрьскии,6000000
1,30.0,3,Ворошиловскии,3500000
1,30.0,3,Ворошиловскии,3500000
3,63.3,1,Ворошиловскии,6050000
1,34.0,8,Ворошиловскии,3350000
3,50.0,2,Советскии,5700000
2,41.1,4,Кировскии,5050000
1,33.8,3,Ленинскии,4200000
3,65.0,5,Железнодорожныи,6600000
0,22.0,2,Октябрьскии,2300000
1,29.0,6,Ленинскии,5350000
2,45.0,8,Советскии,4600000
1,33.0,5,Ворошиловскии,4130000
3,54.5,8,Ворошиловскии,3950000
1,32.0,2,Октябрьскии,3450000
1,27.1,1,Октябрьскии,2950000
1,40.0,4,Октябрьскии,4990000
3,64.0,4,Советскии,6300000
2,68.4,10,Октябрьскии,4500000
3,58.2,3,Советскии,5800000
2,64.0,15,Кировскии,11500000
0,24.5,5,Пролетарскии,3250000
3,84.2,4,Железнодорожныи,13500000
3,84.2,4,Железнодорожныи,13500000
1,31.0,7,Первомаискии,3350000
1,44.0,2,Советскии,4900000
2,58.0,3,Октябрьскии,5950000
2,48.5,9,Ленинскии,6100000
1,36.0,6,Октябрьскии,3350000
1,25.0,5,Первомаискии,2199000
0,42.0,6,Ленинскии,15000000
1,30.0,3,Железнодорожныи,2900000
0,28.0,15,Кировскии,4300000
1,30.0,4,Советскии,3400000
3,75.0,12,Советскии,7500000
2,49.0,4,Ворошиловскии,8500000
3,59.8,3,Пролетарскии,4700000
0,25.0,3,Советскии,3850000
3,59.8,3,Пролетарскии,4700000
0,25.0,3,Советскии,3850000
1,41.3,19,Октябрьскии,6100000
3,65.0,3,Ворошиловскии,5999999
1,39.0,7,Советскии,4000000
1,23.0,1,Первомаискии,2500000
0,30.0,10,Пролетарскии,5100000
0,30.6,5,Кировскии,5100000
3,62.1,7,Железнодорожныи,7350000
2,48.0,4,Советскии,4200000
2,55.0,10,Советскии,6500000
1,40.0,7,Кировскии,5700000
0,42.3,15,Ворошиловскии,5200000
3,85.0,2,Ленинскии,10500000
1,42.0,7,Ворошиловскии,4486000
2,46.0,6,Октябрьскии,5800000
2,57.0,9,Ворошиловскии,8100000
2,57.0,9,Ворошиловскии,8100000
2,46.0,6,Октябрьскии,5800000
1,35.0,6,Пролетарскии,3650000
1,23.0,4,Первомаискии,2270000
3,76.0,17,Октябрьскии,11500000
1,32.0,5,Октябрьскии,3700000
2,53.0,13,Октябрьскии,6500000
2,48.5,3,Первомаискии,5100000
3,85.0,5,Пролетарскии,11500000
0,28.0,10,Железнодорожныи,3500000
1,36.3,6,Кировскии,8100000
2,47.9,2,Октябрьскии,4950000
1,40.5,18,Ворошиловскии,5300000
0,26.0,3,Железнодорожныи,3800000
1,34.5,8,Пролетарскии,5200000
2,36.0,8,Первомаискии,2600000
3,47.0,3,Советскии,5149990
0,27.0,5,Октябрьскии,3300000
3,57.0,8,Октябрьскии,9300000
3,58.6,5,Первомаискии,5500000
1,30.0,6,Октябрьскии,2500000
0,28.0,1,Советскии,3300000
1,20.2,2,Кировскии,2600000
3,64.0,1,Октябрьскии,6700000
1,30.0,6,Первомаискии,2799000
0,24.0,5,Октябрьскии,4500000
1,30.0,6,Октябрьскии,2500000
0,28.0,1,Советскии,3300000
1,20.2,2,Кировскии,2600000
3,64.0,1,Октябрьскии,6700000
1,30.0,6,Первомаискии,2799000
0,24.0,5,Октябрьскии,4500000
2,54.0,16,Советскии,6000000
4,91.0,1,Ворошиловскии,7299000
0,28.0,2,Ленинскии,4300000
2,52.3,14,Первомаискии,7000000
2,47.0,3,Ворошиловскии,8100000
3,80.0,3,Кировскии,12000000
2,50.0,8,Кировскии,7200000
1,42.0,6,Советскии,6200000
1,37.0,4,Советскии,4200000
1,30.0,2,Советскии,4099000
1,42.0,6,Железнодорожныи,5100000
2,46.0,1,Первомаискии,4200000
1,42.0,6,Железнодорожныи,5100000
2,46.0,1,Первомаискии,4200000
2,45.0,1,Советскии,4900000
3,56.0,3,Октябрьскии,7000000
1,60.0,10,Октябрьскии,9000000
3,58.0,8,Октябрьскии,8600000
2,37.3,2,Ворошиловскии,4089000
3,60.0,3,Первомаискии,5600000
2,42.0,20,Пролетарскии,6390000
2,43.6,18,Пролетарскии,6500000
3,53.8,4,Первомаискии,4300000
2,43.4,2,Советскии,5100000
2,43.9,9,Ворошиловскии,3200000
1,31.0,6,Ворошиловскии,3300000
0,30.0,9,Октябрьскии,6200000
1,36.2,13,Октябрьскии,4100000
2,54.0,5,Первомаискии,3999999
1,44.0,24,Пролетарскии,6800000
3,54.0,9,Октябрьскии,8299999
2,36.7,1,Октябрьскии,3000000
1,40.4,8,Первомаискии,5950000
1,44.0,24,Пролетарскии,6800000
3,54.0,9,Октябрьскии,8299999
2,36.7,1,Октябрьскии,3000000
1,40.4,8,Первомаискии,5950000
2,50.6,2,Ворошиловскии,5300000
0,28.8,6,Первомаискии,4800000
3,67.0,6,Пролетарскии,5990000
1,40.0,9,Советскии,4200000
3,65.0,7,Кировскии,9480000
0,28.0,22,Пролетарскии,4950000
1,23.0,7,Советскии,4200000
1,30.0,5,Октябрьскии,2650000
1,54.0,6,Советскии,5000000
2,59.7,7,Пролетарскии,8250000
0,28.0,10,Пролетарскии,4700000
2,54.0,12,Железнодорожныи,6650000
1,54.0,6,Советскии,5000000
0,28.0,10,Пролетарскии,4700000
2,54.0,12,Железнодорожныи,6650000
3,62.7,3,Первомаискии,6100000
2,40.2,3,Кировскии,5000000
1,35.0,5,Ворошиловскии,3600000
1,35.0,6,Первомаискии,6300000
2,38.5,1,Октябрьскии,2550000
1,26.0,5,Ворошиловскии,2999000
1,34.8,21,Советскии,4850000
1,15.0,4,Советскии,1800000
1,36.4,2,Октябрьскии,4370000
2,52.0,8,Ворошиловскии,7450000
2,59.3,8,Ворошиловскии,7500000
1,32.0,4,Ворошиловскии,3600000
0,26.0,5,Октябрьскии,6000000
1,36.4,2,Октябрьскии,4370000
2,52.0,8,Ворошиловскии,7450000
2,59.3,8,Ворошиловскии,7500000
1,32.0,4,Ворошиловскии,3600000
0,26.0,5,Октябрьскии,6000000
1,30.0,8,Ворошиловскии,3500000
0,26.2,2,Первомаискии,2600000
2,47.2,12,Ворошиловскии,6200000
1,32.0,3,Пролетарскии,5900000
1,44.4,7,Пролетарскии,6250000
3,68.0,8,Советскии,7100000
1,34.4,18,Октябрьскии,4200000
2,45.0,8,Октябрьскии,7499999
1,35.6,17,Кировскии,7950000
3,52.1,6,Ворошиловскии,4900000
2,65.0,4,Пролетарскии,4800000
0,27.0,11,Ленинскии,3960000
3,59.0,1,Первомаискии,3900000
2,67.0,2,Кировскии,8950000
3,56.6,4,Пролетарскии,4750000
0,27.0,11,Ленинскии,3960000
3,52.1,6,Ворошиловскии,4900000
2,65.0,4,Пролетарскии,4800000
3,59.0,1,Первомаискии,3900000
2,67.0,2,Кировскии,8950000
3,56.6,4,Пролетарскии,4750000
3,58.6,7,Советскии,7350000
0,32.9,24,Пролетарскии,5690000
1,31.0,5,Первомаискии,3200000
2,58.0,3,Ленинскии,7800000
3,57.4,17,Советскии,7500000
1,38.0,14,Советскии,4600000
1,37.6,11,Советскии,4999000
1,44.0,12,Ворошиловскии,5400000
1,38.1,2,Ленинскии,3500000
3,64.0,10,Пролетарскии,9450000
0,31.0,17,Железнодорожныи,4500000
2,59.7,7,Пролетарскии,8250000
2,72.0,2,Советскии,8750000
3,60.0,6,Ворошиловскии,5850000
3,92.7,3,Ленинскии,9000000
2,35.5,3,Октябрьскии,2850000
3,70.0,1,Кировскии,9600000
2,33.0,3,Первомаискии,3100000
2,43.0,5,Октябрьскии,4500000
3,57.4,17,Советскии,7500000
3,60.0,6,Ворошиловскии,5850000
2,43.0,11,Ленинскии,6600000
3,92.7,3,Ленинскии,9000000
2,35.5,3,Октябрьскии,2850000
3,70.0,1,Кировскии,9600000
2,33.0,3,Первомаискии,3100000
2,43.0,5,Октябрьскии,4500000
0,28.0,6,Ленинскии,6400000
3,63.0,5,Советскии,6199000
0,26.9,9,Советскии,4340000
1,36.0,15,Октябрьскии,3800000
3,75.0,7,Советскии,6800000
2,42.0,1,Ленинскии,3950000
0,24.0,4,Железнодорожныи,3200000
1,38.5,8,Октябрьскии,4050000
1,42.0,5,Первомаискии,4800000
1,40.0,11,Октябрьскии,5500000
2,53.1,4,Советскии,5990000
2,70.0,2,Ленинскии,8000000
0,28.0,23,Пролетарскии,4388000
2,48.0,15,Советскии,7000000
0,35.5,6,Первомаискии,4650000
1,43.0,16,Октябрьскии,5800000
3,60.0,9,Железнодорожныи,5500000
3,75.0,7,Советскии,6800000
0,24.0,4,Железнодорожныи,3200000
2,42.0,1,Ленинскии,3950000
1,38.5,8,Октябрьскии,4050000
1,42.0,5,Первомаискии,4800000
1,40.0,11,Октябрьскии,5500000
2,53.1,4,Советскии,5990000
1,38.2,4,Железнодорожныи,3420000
2,70.0,2,Ленинскии,8000000
0,28.0,23,Пролетарскии,4388000
2,48.0,15,Советскии,7000000
0,35.5,6,Первомаискии,4650000
1,43.0,16,Октябрьскии,5800000
3,60.0,9,Железнодорожныи,5500000
2,44.0,19,Советскии,5800000
1,43.9,2,Ворошиловскии,6150000
2,52.4,10,Советскии,5500000
2,40.0,3,Советскии,5650000
1,22.0,4,Ворошиловскии,3000000
1,36.0,8,Пролетарскии,4600000
1,32.0,4,Железнодорожныи,4250000
0,28.0,25,Пролетарскии,4899999
1,39.0,8,Первомаискии,3520000
2,56.0,18,Советскии,7600000
1,52.0,2,Ворошиловскии,5700000
2,44.0,19,Советскии,5800000
1,43.9,2,Ворошиловскии,6150000
2,52.4,10,Советскии,5500000
2,40.0,3,Советскии,5650000
1,36.0,8,Пролетарскии,4600000
1,32.0,4,Железнодорожныи,4250000
0,28.0,25,Пролетарскии,4899999
1,39.0,8,Первомаискии,3520000
2,56.0,18,Советскии,7600000
1,52.0,2,Ворошиловскии,5700000
4,91.3,10,Кировскии,13550000
1,37.5,16,Октябрьскии,7000000
1,43.9,12,Советскии,4090000
2,50.0,6,Советскии,7700000
3,90.0,2,Ворошиловскии,7700000
3,60.0,2,Октябрьскии,7700000
2,42.1,2,Ленинскии,4900000
2,65.0,7,Октябрьскии,13000000
2,52.0,1,Ленинскии,9750000
1,25.2,4,Первомаискии,2500000
3,60.0,6,Пролетарскии,9950000
2,52.4,2,Советскии,6400000
1,41.0,12,Пролетарскии,6750000
1,40.0,7,Советскии,5100000
2,45.0,1,Советскии,4600000
2,44.0,5,Октябрьскии,4500000
3,56.7,2,Железнодорожныи,5100000
2,58.0,11,Советскии,8999000
3,60.0,6,Пролетарскии,9950000
2,52.4,2,Советскии,6400000
1,41.0,12,Пролетарскии,6750000
1,40.0,7,Советскии,5100000
2,45.0,1,Советскии,4600000
2,44.0,5,Октябрьскии,4500000
3,56.7,2,Железнодорожныи,5100000
2,58.0,11,Советскии,8999000
0,30.0,12,Октябрьскии,4590000
1,52.0,10,Ленинскии,8600000
1,40.0,9,Пролетарскии,5300000
1,37.3,11,Советскии,5500000
3,64.3,6,Советскии,7900000
2,45.5,2,Советскии,5000000
1,41.0,2,Октябрьскии,6750000
1,31.0,4,Советскии,2650000
1,30.0,4,Первомаискии,2400000
3,84.8,9,Октябрьскии,11490000
2,51.8,2,Советскии,6800000
3,67.0,2,Ворошиловскии,6100000
2,44.0,5,Советскии,4200000
0,28.6,14,Железнодорожныи,4200000
2,49.0,18,Ленинскии,12000000
1,36.0,2,Железнодорожныи,4500000
1,30.0,4,Первомаискии,2400000
2,44.0,5,Советскии,4200000
3,84.8,9,Октябрьскии,11490000
2,51.8,2,Советскии,6800000
3,67.0,2,Ворошиловскии,6100000
2,49.0,18,Ленинскии,12000000
1,36.0,2,Железнодорожныи,4500000
3,99.8,6,Ленинскии,12500000
1,36.0,4,Советскии,4700000
0,38.0,10,Октябрьскии,4100000
2,50.0,14,Ворошиловскии,5500000
1,37.3,15,Советскии,5250000
3,76.0,21,Кировскии,16900000
1,40.0,4,Пролетарскии,5150000
1,39.0,9,Советскии,4050000
3,65.0,9,Октябрьскии,7000000
,64.0,6,Ленинскии,8100000
1,37.0,3,Кировскии,6200000
3,60.0,2,Советскии,6450000
3,78.8,8,Ворошиловскии,10500000
0,28.0,15,Октябрьскии,6100000
4,70.0,10,Железнодорожныи,8699999
2,47.4,5,Ворошиловскии,4800000
3,58.0,2,Октябрьскии,8000000
2,56.0,5,Советскии,5300000
0,29.2,11,Ленинскии,5000000
1,15.0,4,Советскии,1800000
2,43.0,5,Октябрьскии,4500000
1,38.0,8,Советскии,3800000
2,48.0,9,Ленинскии,11500000
2,45.0,4,Советскии,4000000
2,58.0,9,Ворошиловскии,6350000
1,23.0,5,Первомаискии,2100000
0,30.0,5,Октябрьскии,3000000
1,37.0,2,Ворошиловскии,3090000
1,36.0,15,Октябрьскии,3800000
1,45.0,4,Железнодорожныи,6900000
2,45.0,2,Пролетарскии,3500000
1,35.0,4,Советскии,4000000
2,45.0,2,Пролетарскии,3500000
2,42.0,13,Октябрьскии,5850000
2,61.0,9,Советскии,7500000
1,35.0,4,Советскии,4000000
0,28.0,2,Советскии,3700000
1,22.0,1,Железнодорожныи,1970000
2,50.0,3,Октябрьскии,4300000
1,35.0,4,Советскии,4000000
0,28.0,2,Советскии,3700000
1,22.0,1,Железнодорожныи,1970000
2,50.0,3,Октябрьскии,4300000
2,42.0,1,Ленинскии,3950000
1,35.5,10,Первомаискии,4000000
2,43.7,2,Пролетарскии,4000000
3,99.8,6,Ленинскии,12500000
2,52.0,7,Ленинскии,7800000
0,28.0,2,Советскии,3700000
1,22.0,1,Железнодорожныи,1970000
2,50.0,3,Октябрьскии,4300000
2,42.0,1,Ленинскии,3950000
1,35.5,10,Первомаискии,4000000
2,43.7,2,Пролетарскии,4000000
3,99.8,6,Ленинскии,12500000
2,52.0,7,Ленинскии,7800000
2,65.0,10,Кировскии,10500000
2,65.0,10,Октябрьскии,4500000
1,35.5,10,Первомаискии,4000000
2,43.7,2,Пролетарскии,4000000
3,99.8,6,Ленинскии,12500000
2,52.0,7,Ленинскии,7800000
2,65.0,10,Кировскии,10500000
2,65.0,10,Октябрьскии,4500000
0,26.0,11,Октябрьскии,4350000
1,40.0,7,Ворошиловскии,3450000
2,50.0,6,Советскии,4900000
2,58.0,3,Октябрьскии,5950000
3,80.0,10,Советскии,8000000
1,36.0,5,Советскии,3800000
1,46.0,9,Ворошиловскии,6500000
0,27.0,4,Советскии,3600000
2,36.6,5,Октябрьскии,4000000
2,50.0,6,Советскии,4900000
2,58.0,3,Октябрьскии,5950000
3,80.0,10,Советскии,8000000
1,36.0,5,Советскии,3800000
1,46.0,9,Ворошиловскии,6500000
0,27.0,4,Советскии,3600000
2,36.6,5,Октябрьскии,4000000
1,33.0,2,Ворошиловскии,3250000
1,32.0,4,Октябрьскии,3200000
1,38.2,4,Железнодорожныи,3420000
2,46.0,8,Первомаискии,3390000
0,38.0,10,Октябрьскии,4100000
3,85.0,7,Железнодорожныи,7600000
1,36.0,2,Советскии,3500000
1,38.0,8,Октябрьскии,3400000
2,46.0,7,Ленинскии,8500000
1,36.0,5,Советскии,3800000
1,46.0,9,Ворошиловскии,6500000
0,27.0,4,Советскии,3600000
2,36.6,5,Октябрьскии,4000000
1,33.0,2,Ворошиловскии,3250000
1,32.0,4,Октябрьскии,3200000
1,38.2,4,Железнодорожныи,3420000
2,46.0,8,Первомаискии,3390000
0,38.0,10,Октябрьскии,4100000
3,85.0,7,Железнодорожныи,7600000
1,36.0,2,Советскии,3500000
1,38.0,8,Октябрьскии,3400000
2,46.0,7,Ленинскии,8500000
0,27.0,6,Советскии,3000000
0,32.2,8,Советскии,3000000
1,32.0,2,Железнодорожныи,2500000
1,36.0,2,Советскии,3500000
1,38.0,8,Октябрьскии,3400000
2,46.0,7,Ленинскии,8500000
0,27.0,6,Советскии,3000000
0,32.2,8,Советскии,3000000
1,32.0,2,Железнодорожныи,2500000
1,39.0,5,Советскии,3950000
2,54.6,4,Ворошиловскии,6100000
3,71.0,7,Советскии,6000000
2,45.0,3,Октябрьскии,4150000
3,55.0,5,Пролетарскии,4499000
2,67.0,6,Ленинскии,8400000
1,38.0,6,Октябрьскии,3400000
0,27.0,6,Советскии,3000000
0,32.2,8,Советскии,3000000
1,32.0,2,Железнодорожныи,2500000
1,39.0,5,Советскии,3950000
2,54.6,4,Ворошиловскии,6100000
3,71.0,7,Советскии,6000000
2,45.0,3,Октябрьскии,4150000
3,55.0,5,Пролетарскии,4499000
2,67.0,6,Ленинскии,8400000
1,38.0,6,Октябрьскии,3400000
2,48.0,2,Кировскии,7100000
2,44.0,10,Железнодорожныи,5000000
3,55.0,5,Ворошиловскии,4100000
2,56.0,5,Советскии,5300000
2,55.0,8,Ворошиловскии,5000000
2,45.0,3,Октябрьскии,4150000
3,55.0,5,Пролетарскии,4499000
2,67.0,6,Ленинскии,8400000
1,38.0,6,Октябрьскии,3400000
2,70.0,9,Кировскии,12200000
2,48.0,2,Кировскии,7100000
2,44.0,10,Железнодорожныи,5000000
3,55.0,5,Ворошиловскии,4100000
2,56.0,5,Советскии,5300000
2,55.0,8,Ворошиловскии,5000000
1,36.0,4,Октябрьскии,3900000
2,45.0,3,Советскии,3950000
1,37.0,4,Советскии,4200000
2,48.0,2,Кировскии,7100000
2,44.0,10,Железнодорожныи,5000000
3,55.0,5,Ворошиловскии,4100000
2,56.0,5,Советскии,5300000
2,55.0,8,Ворошиловскии,5000000
1,36.0,4,Октябрьскии,3900000
2,50.0,15,Ленинскии,9099999
1,34.1,2,Пролетарскии,5690000
2,45.0,3,Советскии,3950000
1,37.0,4,Советскии,4200000
2,48.0,7,Советскии,4650000
2,57.0,9,Ворошиловскии,8100000
1,30.0,7,Октябрьскии,3000000
1,39.0,19,Ворошиловскии,6450000
0,21.0,2,Октябрьскии,4200000
2,55.0,8,Ворошиловскии,5000000
1,36.0,4,Октябрьскии,3900000
2,50.0,15,Ленинскии,9099999
1,34.1,2,Пролетарскии,5690000
1,32.1,1,Советскии,3599000
2,45.0,3,Советскии,3950000
1,37.0,4,Советскии,4200000
2,48.0,7,Советскии,4650000
2,57.0,9,Ворошиловскии,8100000
1,30.0,7,Октябрьскии,3000000
