Room_number,Squares,Living_squares,Floor,Place,Price
1,38.4,15.7,19,5500000,Пролетарский
3,102.0,70.0,11,17200000,Октябрьский
1,49.0,23.1,19,5880000,Кировский
3,81.4,50.3,4,13400000,Октябрьский
1,37.0,15.0,25,10200000,Кировский
0,27.0,11.0,20,3500000,Железнодорожный
1,45.0,30.0,22,8350000,Пролетарский
1,50.0,32.0,17,12500000,Кировский
1,32.0,19.0,5,2500000,Железнодорожный
1,37.0,,24,8700000,Первомайский
3,92.0,48.0,18,9100000,Ворошиловский
3,74.0,34.0,10,8500000,Октябрьский
1,37.4,18.0,17,6200000,Пролетарский
1,36.2,19.0,20,4600000,Железнодорожный
2,80.6,,10,12900000,Пролетарский
5,165.0,121.0,16,22500000,Ленинский
2,48.0,31.0,9,5850000,Кировский
2,56.0,30.0,23,11490000,Пролетарский
1,44.4,16.2,24,5100000,Пролетарский
1,37.0,21.0,25,8099000,Кировский
1,48.4,,5,9000000,Железнодорожный
3,85.0,54.0,16,11500000,Пролетарский
3,64.0,44.0,10,7650000,Октябрьский
2,61.0,34.0,10,8100000,Пролетарский
3,80.0,50.0,16,8000000,Советский
2,78.6,,22,12850000,Пролетарский
2,73.6,36.0,25,8900000,Советский
2,44.5,28.0,5,6400000,Советский
3,54.0,26.0,22,6510000,Советский
0,32.1,15.5,24,5320300,Октябрьский
3,63.7,,12,7580300,Советский
1,45.3,11.8,8,7481100,Октябрьский
2,60.0,,12,13000000,Октябрьский
4,124.6,60.0,5,32396000,Октябрьский
0,30.0,12.0,24,4798440,Октябрьский
1,40.0,,25,4250000,Пролетарский
0,21.0,,25,2700000,Октябрьский
1,40.0,18.0,10,5700000,Кировский
2,54.5,,16,7820750,Советский
3,64.5,34.1,25,7422088,Октябрьский
1,33.8,15.3,24,4220000,Октябрьский
