ID	Title	Place	Price
1	[3, 60.9, 9]	Советский	6200000
2	[3, 76.0, 21]	Кировский	16900000
3	[1, 49.3, 9]	Октябрьский	7050000
4	[3, 70.3, 2]	Первомайский	6970000
5	[3, 70.0, 1]	Кировский	9600000
6	[3, 71.0, 2]	Ленинский	8900000
7	[3, 64.8, 7]	Советский	10700000
8	[2, 36.0, 8]	Первомайский	2600000
9	[1, 39.0, 22]	Первомайский	7390000
10	[1, 23.0, 4]	Первомайский	2270000
11	[2, 57.2, 10]	Советский	5350000
12	[0, 40.9, 15]	Ворошиловский	5400000
13	[2, 52.0, 8]	Ворошиловский	7690000
14	[2, 57.0, 14]	Кировский	26900000
15	[1, 39.1, 4]	Первомайский	3250000
16	[1, 32.0, 2]	Железнодорожный	2500000
17	[0, 33.0, 6]	Ленинский	7700000
18	[2, 48.8, 4]	Железнодорожный	4600000
19	[2, 63.0, 7]	Кировский	9100000
20	[2, 56.0, 13]	Октябрьский	9500000
21	[2, 72.0, 2]	Советский	8750000
22	[2, 48.0, 2]	Пролетарский	7500000
23	[3, 61.0, 7]	Первомайский	5300000
24	[1, 36.6, 9]	Ворошиловский	5950000
25	[0, 30.0, 12]	Пролетарский	4300000
26	[1, 32.0, 4]	Железнодорожный	4250000
27	[2, 57.6, 2]	Октябрьский	9504000
28	[1, 32.1, 21]	Первомайский	4574250
29	[1, 36.4, 2]	Октябрьский	4370000
30	[1, 32.6, 9]	Советский	4462940
31	[2, 45.6, 4]	Первомайский	3999000
32	[2, 50.1, 5]	Первомайский	6538050
33	[1, 43.0, 16]	Октябрьский	5800000
34	[3, 90.0, 3]	Октябрьский	11000000
35	[1, 40.9, 17]	Первомайский	5460150
36	[1, 32.4, 3]	Советский	4300000
37	[2, 51.0, 17]	Советский	7163000
38	[3, 108.2, 2]	Октябрьский	16900000
39	[1, 32.6, 3]	Советский	4577040
40	[1, 44.0, 7]	Первомайский	5800000
41	[2, 53.0, 3]	Кировский	7500000
42	[1, 33.0, 5]	Советский	3955000
43	[3, 100.0, 3]	Первомайский	7500000
44	[2, 39.1, 2]	Кировский	2934000
45	[2, 54.0, 10]	Октябрьский	5627000
46	[4, 80.0, 19]	Советский	10248000
47	[2, 55.8, 8]	Советский	6896880
48	[2, 44.2, 2]	Ленинский	5499999
49	[1, 42.0, 13]	Железнодорожный	5150000
50	[1, 37.0, 3]	Первомайский	4200000
51	[1, 36.3, 20]	Первомайский	4918650
52	[0, 25.0, 10]	Первомайский	4000000
53	[1, 40.1, 2]	Советский	5658110
54	[2, 61.0, 7]	Пролетарский	8100000
55	[1, 42.9, 3]	Первомайский	5727150
56	[1, 30.0, 3]	Железнодорожный	2900000
57	[3, 90.0, 3]	Октябрьский	11000000
58	[1, 43.0, 18]	Кировский	6370000
59	[1, 22.0, 1]	Железнодорожный	1970000
60	[3, 63.7, 6]	Советский	6822270
61	[1, 39.9, 1]	Ленинский	2000000
62	[3, 70.0, 10]	Октябрьский	8500000
63	[2, 45.0, 2]	Пролетарский	3500000
64	[1, 42.5, 20]	Первомайский	5758750
